mach,cd
5.84,1.895614
5.85,1.895564
5.86,1.895513
5.87,1.89546
5.88,1.895405
5.89,1.89535
5.9,1.895293
5.91,1.895233
5.92,1.895173
5.93,1.89511
5.94,1.895047
5.95,1.894982
5.96,1.894915
5.97,1.894847
5.98,1.894777
5.99,1.894706
6,1.894633
6.01,1.894589
6.02,1.894581
6.03,1.89457
6.04,1.89456
6.05,1.89455
6.06,1.894538
6.07,1.894525
6.08,1.894511
6.09,1.894497
6.1,1.894482
6.11,1.894467
6.12,1.89445
6.13,1.894433
6.14,1.894415
6.15,1.894397
6.16,1.894377
6.17,1.894358
6.18,1.894338
6.19,1.894317
6.2,1.894295
6.21,1.894272
6.22,1.894249
6.23,1.894225
6.24,1.894201
6.25,1.894176
6.26,1.89415
6.27,1.894124
6.28,1.894096
6.29,1.894069
6.3,1.89404
6.31,1.894011
6.32,1.893981
6.33,1.893952
6.34,1.893921
6.35,1.89389
6.36,1.893858
6.37,1.893825
6.38,1.893792
6.39,1.893758
6.4,1.893724
6.41,1.893689
6.42,1.893653
6.43,1.893617
6.44,1.893581
6.45,1.893545
6.46,1.893507
6.47,1.893469
6.48,1.89343
6.49,1.893391
6.5,1.89335
6.51,1.89331
6.52,1.893269
6.53,1.893228
6.54,1.893187
6.55,1.893144
6.56,1.893101
6.57,1.893058
6.58,1.893014
6.59,1.892969
6.6,1.892925
6.61,1.892879
6.62,1.892833
6.63,1.892787
6.64,1.89274
6.65,1.892693
6.66,1.892645
6.67,1.892597
6.68,1.892548
6.69,1.892499
6.7,1.892449
6.71,1.892399
6.72,1.892348
6.73,1.892298
6.74,1.892247
6.75,1.892195
6.76,1.892142
6.77,1.892089
6.78,1.892036
6.79,1.891983
6.8,1.891929
6.81,1.891874
6.82,1.891819
6.83,1.891764
6.84,1.891708
6.85,1.891652
6.86,1.891595
6.87,1.891538
6.88,1.891481
6.89,1.891423
6.9,1.891366
6.91,1.891306
6.92,1.891248
6.93,1.891188
6.94,1.891129
6.95,1.891069
6.96,1.891008
6.97,1.890948
6.98,1.890887
6.99,1.890825
7,1.890778
7.01,1.890763
7.02,1.890748
7.03,1.890732
7.04,1.890716
7.05,1.8907
7.06,1.890685
7.07,1.890668
7.08,1.890652
7.09,1.890636
7.1,1.890619
7.11,1.890602
7.12,1.890586
7.13,1.890569
7.14,1.890553
7.15,1.890535
7.16,1.890519
7.17,1.890501
7.18,1.890483
7.19,1.890467
7.2,1.890449
7.21,1.890431
7.22,1.890414
7.23,1.890396
7.24,1.890378
7.25,1.890359
7.26,1.890341
7.27,1.890324
7.28,1.890305
7.29,1.890287
7.3,1.890269
7.31,1.890249
7.32,1.890231
7.33,1.890213
7.34,1.890194
7.35,1.890175
7.36,1.890155
7.37,1.890136
7.38,1.890117
7.39,1.890098
7.4,1.890079
7.41,1.890059
7.42,1.89004
7.43,1.89002
7.44,1.890001
7.45,1.889981
7.46,1.889961
7.47,1.889941
7.48,1.889921
7.49,1.889901
7.5,1.889881
7.51,1.889852
7.52,1.889823
7.53,1.889795
7.54,1.889766
7.55,1.889737
7.56,1.889707
7.57,1.889679
7.58,1.889649
7.59,1.88962
7.6,1.889591
7.61,1.889561
7.62,1.889532
7.63,1.889503
7.64,1.889474
7.65,1.889445
7.66,1.889416
7.67,1.889386
7.68,1.889357
7.69,1.889328
7.7,1.889298
7.71,1.889269
7.72,1.889239
7.73,1.88921
7.74,1.889181
7.75,1.889151
7.76,1.889122
7.77,1.889092
7.78,1.889062
7.79,1.889033
7.8,1.889004
7.81,1.888974
7.82,1.888945
7.83,1.888915
7.84,1.888886
7.85,1.888856
7.86,1.888827
7.87,1.888797
7.88,1.888767
7.89,1.888738
7.9,1.888708
7.91,1.888679
7.92,1.88865
7.93,1.88862
7.94,1.888591
7.95,1.888561
7.96,1.888531
7.97,1.888501
7.98,1.888472
7.99,1.888442
8,1.888413
8.01,1.888383
8.02,1.888353
8.03,1.888324
8.04,1.888294
8.05,1.888264
8.06,1.888235
8.07,1.888205
8.08,1.888176
8.09,1.888146
8.1,1.888117
8.11,1.888087
8.12,1.888057
8.13,1.888028
8.14,1.887998
8.15,1.887968
8.16,1.887939
8.17,1.887909
8.18,1.88788
8.19,1.88785
8.2,1.88782
8.21,1.887791
8.22,1.887761
8.23,1.887732
8.24,1.887702
8.25,1.887672
8.26,1.887644
8.27,1.887614
8.28,1.887585
8.29,1.887554
8.3,1.887525
8.31,1.887495
8.32,1.887466
8.33,1.887437
8.34,1.887407
8.35,1.887378
8.36,1.887347
8.37,1.887319
8.38,1.887289
8.39,1.88726
8.4,1.88723
8.41,1.887201
8.42,1.887171
8.43,1.887142
8.44,1.887113
8.45,1.887083
8.46,1.887053
8.47,1.887024
8.48,1.886995
8.49,1.886965
8.5,1.886937
8.51,1.886908
8.52,1.886878
8.53,1.886849
8.54,1.886819
8.55,1.88679
8.56,1.886761
8.57,1.886732
8.58,1.886702
8.59,1.886673
8.6,1.886644
8.61,1.886615
8.62,1.886586
8.63,1.886556
8.64,1.886527
8.65,1.886499
8.66,1.886469
8.67,1.88644
8.68,1.886411
8.69,1.886382
8.7,1.886354
8.71,1.886324
8.72,1.886295
8.73,1.886266
8.74,1.886237
8.75,1.886208
8.76,1.886179
8.77,1.88615
8.78,1.886122
8.79,1.886092
8.8,1.886064
8.81,1.886035
8.82,1.886007
8.83,1.885977
8.84,1.885949
8.85,1.88592
8.86,1.885891
8.87,1.885862
8.88,1.885834
8.89,1.885805
8.9,1.885777
8.91,1.885748
8.92,1.88572
8.93,1.88569
8.94,1.885662
8.95,1.885634
8.96,1.885605
8.97,1.885577
8.98,1.885548
8.99,1.885519
9,1.885491
9.01,1.885462
9.02,1.885434
9.03,1.885406
9.04,1.885377
9.05,1.885349
9.06,1.885321
9.07,1.885293
9.08,1.885264
9.09,1.885236
9.1,1.885208
9.11,1.88518
9.12,1.885151
9.13,1.885123
9.14,1.885095
9.15,1.885067
9.16,1.885039
9.17,1.88501
9.18,1.884983
9.19,1.884955
9.2,1.884926
9.21,1.884899
9.22,1.884871
9.23,1.884843
9.24,1.884815
9.25,1.884787
9.26,1.884759
9.27,1.884731
9.28,1.884704
9.29,1.884676
9.3,1.884647
9.31,1.88462
9.32,1.884592
9.33,1.884565
9.34,1.884537
9.35,1.884509
9.36,1.884482
9.37,1.884454
9.38,1.884426
9.39,1.884399
9.4,1.884371
9.41,1.884343
9.42,1.884316
9.43,1.884289
9.44,1.884262
9.45,1.884234
9.46,1.884207
9.47,1.884179
9.48,1.884152
9.49,1.884125
9.5,1.884097
9.51,1.884071
9.52,1.884043
9.53,1.884016
9.54,1.883989
9.55,1.883962
9.56,1.883934
9.57,1.883908
9.58,1.88388
9.59,1.883853
9.6,1.883826
9.61,1.883799
9.62,1.883772
9.63,1.883745
9.64,1.883718
9.65,1.883691
9.66,1.883664
9.67,1.883637
9.68,1.883611
9.69,1.883584
9.7,1.883557
9.71,1.883531
9.72,1.883504
9.73,1.883477
9.74,1.88345
9.75,1.883424
9.76,1.883398
9.77,1.883371
9.78,1.883345
9.79,1.883318
9.8,1.883291
9.81,1.883265
9.82,1.883238
9.83,1.883212
9.84,1.883185
9.85,1.883159
9.86,1.883133
9.87,1.883106
9.88,1.88308
9.89,1.883054
9.9,1.883028
9.91,1.883002
9.92,1.882975
9.93,1.88295
